Datetime,Open,High,Low,Close,Volume,Ticker
2026-02-06 18:55:00+00:00,207.61,207.705,207.43,207.43,8609,AMZN
2026-02-06 18:55:00+00:00,333.41,333.43,333.295,333.33,1745,AVGO
2026-02-06 18:55:00+00:00,660.66,660.66,659.795,659.795,1234,META
2026-02-06 18:55:00+00:00,397.45,397.65,397.435,397.525,1911,MSFT
2026-02-06 18:55:00+00:00,184.86,184.865,184.8,184.835,3571,NVDA
2026-02-06 18:55:00+00:00,412.36,412.36,412.16,412.275,869,TSLA
2026-02-06 18:56:00+00:00,267.49,267.55,267.49,267.55,137,ADBE
2026-02-06 18:56:00+00:00,207.6,207.6,207.6,207.6,371,AMD
2026-02-06 18:56:00+00:00,207.32,207.38,207.075,207.095,8635,AMZN
2026-02-06 18:56:00+00:00,333.34,333.4,333.34,333.36,346,AVGO
2026-02-06 18:56:00+00:00,659.63,659.89,659.62,659.62,1467,META
2026-02-06 18:56:00+00:00,397.53,397.735,397.41,397.41,1341,MSFT
2026-02-06 18:56:00+00:00,184.84,184.895,184.79,184.86,5991,NVDA
2026-02-06 18:56:00+00:00,412.33,412.34,412.19,412.19,625,TSLA
2026-02-06 18:57:00+00:00,267.645,267.645,267.645,267.645,89,ADBE
2026-02-06 18:57:00+00:00,207.7,207.7,207.7,207.7,411,AMD
2026-02-06 18:57:00+00:00,207.1,207.16,206.88,207.06,10227,AMZN
2026-02-06 18:57:00+00:00,333.38,333.38,333.2,333.36,991,AVGO
2026-02-06 18:57:00+00:00,659.61,659.61,659.23,659.49,1149,META
2026-02-06 18:57:00+00:00,397.465,397.535,397.38,397.53,2573,MSFT
2026-02-06 18:57:00+00:00,184.855,184.865,184.845,184.845,5212,NVDA
2026-02-06 18:57:00+00:00,412.14,412.14,411.98,411.98,615,TSLA
2026-02-06 18:58:00+00:00,207.575,207.575,207.575,207.575,134,AMD
2026-02-06 18:58:00+00:00,207.06,207.07,206.63,206.83,17664,AMZN
2026-02-06 18:58:00+00:00,333.33,333.33,333.275,333.275,753,AVGO
2026-02-06 18:58:00+00:00,659.31,659.31,658.85,658.9,958,META
2026-02-06 18:58:00+00:00,397.53,397.58,397.43,397.5,3132,MSFT
2026-02-06 18:58:00+00:00,184.835,184.835,184.69,184.69,8568,NVDA
2026-02-06 18:58:00+00:00,412.0,412.055,411.65,411.65,972,TSLA
